statefp,geoid,namelsad
47.0,5110,Congressional District 10
47.0,5105,Congressional District 5
47.0,5104,Congressional District 4
47.0,5107,Congressional District 7
47.0,5102,Congressional District 2
47.0,5111,Congressional District 11
47.0,5109,Congressional District 9
12.0,1501,Congressional District 1
12.0,1502,Congressional District 2
23.0,2601,Congressional District 1
23.0,2607,Congressional District 7
23.0,2602,Congressional District 2
23.0,2606,Congressional District 6
23.0,2614,Congressional District 14
23.0,2603,Congressional District 3
23.0,2610,Congressional District 10
23.0,2605,Congressional District 5
23.0,2604,Congressional District 4
23.0,2613,Congressional District 13
23.0,26ZZ,Congressional Districts not defined
23.0,2611,Congressional District 11
23.0,2609,Congressional District 9
23.0,2612,Congressional District 12
23.0,2608,Congressional District 8
47.0,5106,Congressional District 6
47.0,5108,Congressional District 8
48.0,5310,Congressional District 10
48.0,5305,Congressional District 5
48.0,5304,Congressional District 4
48.0,5307,Congressional District 7
48.0,5302,Congressional District 2
48.0,5309,Congressional District 9
48.0,5306,Congressional District 6
48.0,5308,Congressional District 8
31.0,3408,Congressional District 8
6.0,0801,Congressional District 1
6.0,0803,Congressional District 3
6.0,0805,Congressional District 5
6.0,0804,Congressional District 4
6.0,0807,Congressional District 7
6.0,0802,Congressional District 2
6.0,0806,Congressional District 6
21.0,2401,Congressional District 1
21.0,2403,Congressional District 3
21.0,2404,Congressional District 4
21.0,2405,Congressional District 5
21.0,2407,Congressional District 7
21.0,2402,Congressional District 2
21.0,2406,Congressional District 6
21.0,2408,Congressional District 8
9.0,1198,Delegate District (at Large)
17.0,2001,Congressional District 1
17.0,2003,Congressional District 3
17.0,2004,Congressional District 4
17.0,2002,Congressional District 2
53.0,6698,Delegate District (at Large)
22.0,2501,Congressional District 1
22.0,2503,Congressional District 3
22.0,2505,Congressional District 5
22.0,2504,Congressional District 4
22.0,2507,Congressional District 7
22.0,2502,Congressional District 2
22.0,2509,Congressional District 9
22.0,2506,Congressional District 6
22.0,2508,Congressional District 8
49.0,5401,Congressional District 1
49.0,5403,Congressional District 3
49.0,5402,Congressional District 2
56.0,7898,Delegate District (at Large)
55.0,7298,Resident Commissioner District (at Large)
50.0,5501,Congressional District 1
50.0,5503,Congressional District 3
50.0,5504,Congressional District 4
50.0,5505,Congressional District 5
50.0,5507,Congressional District 7
50.0,5502,Congressional District 2
50.0,5506,Congressional District 6
50.0,5508,Congressional District 8
34.0,3701,Congressional District 1
34.0,3707,Congressional District 7
34.0,3702,Congressional District 2
34.0,3706,Congressional District 6
34.0,3703,Congressional District 3
34.0,3710,Congressional District 10
34.0,3704,Congressional District 4
34.0,3705,Congressional District 5
34.0,3713,Congressional District 13
34.0,3711,Congressional District 11
34.0,3709,Congressional District 9
34.0,3708,Congressional District 8
34.0,3712,Congressional District 12
30.0,3301,Congressional District 1
30.0,3302,Congressional District 2
52.0,6098,Delegate District (at Large)
37.0,4001,Congressional District 1
37.0,4003,Congressional District 3
37.0,4005,Congressional District 5
37.0,4004,Congressional District 4
37.0,4002,Congressional District 2
39.0,4201,Congressional District 1
39.0,4218,Congressional District 18
39.0,4207,Congressional District 7
39.0,4202,Congressional District 2
39.0,4217,Congressional District 17
39.0,4214,Congressional District 14
39.0,4206,Congressional District 6
39.0,4203,Congressional District 3
39.0,4210,Congressional District 10
39.0,4204,Congressional District 4
39.0,4205,Congressional District 5
39.0,4216,Congressional District 16
39.0,4213,Congressional District 13
39.0,4211,Congressional District 11
39.0,4209,Congressional District 9
39.0,4215,Congressional District 15
39.0,4212,Congressional District 12
39.0,4208,Congressional District 8
10.0,1201,Congressional District 1
10.0,1207,Congressional District 7
10.0,1227,Congressional District 27
10.0,1217,Congressional District 17
10.0,1206,Congressional District 6
10.0,1214,Congressional District 14
10.0,1205,Congressional District 5
10.0,1224,Congressional District 24
10.0,1216,Congressional District 16
10.0,1211,Congressional District 11
10.0,1215,Congressional District 15
10.0,1223,Congressional District 23
10.0,1208,Congressional District 8
10.0,1212,Congressional District 12
10.0,1218,Congressional District 18
10.0,1202,Congressional District 2
10.0,1220,Congressional District 20
10.0,1225,Congressional District 25
10.0,1221,Congressional District 21
10.0,1203,Congressional District 3
10.0,1210,Congressional District 10
10.0,1204,Congressional District 4
3.0,0401,Congressional District 1
3.0,0403,Congressional District 3
3.0,0405,Congressional District 5
3.0,0404,Congressional District 4
3.0,0407,Congressional District 7
3.0,0402,Congressional District 2
3.0,0409,Congressional District 9
3.0,0406,Congressional District 6
3.0,0408,Congressional District 8
44.0,4828,Congressional District 28
44.0,4801,Congressional District 1
44.0,4829,Congressional District 29
44.0,4807,Congressional District 7
44.0,4827,Congressional District 27
44.0,4806,Congressional District 6
44.0,4817,Congressional District 17
44.0,4814,Congressional District 14
44.0,4836,Congressional District 36
44.0,4805,Congressional District 5
44.0,4816,Congressional District 16
44.0,4824,Congressional District 24
44.0,4833,Congressional District 33
44.0,4811,Congressional District 11
44.0,4815,Congressional District 15
44.0,4823,Congressional District 23
44.0,4812,Congressional District 12
44.0,4808,Congressional District 8
44.0,4834,Congressional District 34
